,pubchem id,common name,flavor profile
208,7342,Ethyl Isobutyrate,"{'strawberry', 'fruity', 'sweet', 'rummy', 'ethereal', 'rubber', 'alcoholic', 'fusel'}"
209,7344,Ethyl Lactate,"{'fruit', 'sharp', 'fruity', 'tart', 'butterscotch', 'butter', 'buttery'}"
210,7351,Isobutyl isobutyrate,"{'pineapple', 'tropical', 'grape skin'}"
211,7353,Butyl isobutyrate,"{'banana', 'fruity', 'sweet', 'green', 'apple', 'tropical'}"
212,7359,2-Ethylbutanal,"{'cocoa', 'fruity', 'sweet', 'ethereal', 'green'}"
213,7360,Tetrahydrofurfuryl Alcohol,"{'oily', 'warm', 'cauliflower', 'vegetable', 'faint', 'caramel'}"
214,7361,Furfuryl Alcohol,"{'burnt', 'sweet', 'alcoholic', 'bread', 'chemical', 'musty', 'bitter', 'caramel', 'coffee'}"
215,7362,2-Furaldehyde,"{'woody', 'fragrant', 'sweet', 'almond', 'bread', 'baked'}"
216,7363,Furfuryl mercaptan,"{'fishy', 'sulfury', 'fatty', 'oily', 'burnt', 'roasted', 'coffee', 'roast', 'smoky', 'chocolate', 'sulfurous'}"
217,7364,Thiophene-2-carbaldehyde,"{'sulfur', 'sulfurous'}"
218,7393,4-tert-Butylphenol,"{'oakmoss', 'leather'}"
219,7409,1-Phenylethanol,"{'acetophenone', 'sweet', 'hyacinth', 'fresh', 'gardenia'}"
220,7410,Acetophenone,"{'hawthorne', 'bitter', 'sweet', 'flower', 'hawthorn', 'almond', 'acacia', 'chemical', 'pungent', 'mimosa', 'must'}"
221,7438,Carveol,"{'spearmint', 'minty', 'fresh', 'caraway'}"
222,7439,Carvone,"{'basil', 'licorice', 'fennel', 'minty', 'mint'}"
223,7456,Methyl 4-hydroxybenzoate,{'odorless'}
224,7459,p-Menthane,{'pine'}
225,7460,Alpha-Phellandrene,"{'woody', 'peppery', 'terpene', 'turpentine', 'green', 'citrus', 'spice', 'mint', 'herbal'}"
226,7461,Gamma-Terpinene,"{'woody', 'lime', 'oily', 'gasoline', 'lemon', 'terpene', 'turpentine', 'bitter', 'tropical', 'herbal'}"
227,7462,Alpha-Terpinene,"{'woody', 'bitter', 'lemon', 'terpene', 'camphoraceous', 'citrus', 'medicinal', 'herbal'}"
228,7463,P-Cymene,"{'woody', 'gasoline', 'fresh', 'terpene', 'solvent', 'citrus', 'spice'}"
229,7465,4-Isopropylphenol,"{'spicy', 'woody', 'warm', 'medicinal'}"
230,7469,4'-Hydroxyacetophenone,"{'balsam', 'hawthorn', 'sweet', 'mild', 'mimosa'}"
231,7476,4'-Methoxyacetophenone,"{'anisic', 'sweet', 'hawthorn', 'balsamic', 'butter', 'acacia', 'powdery', 'vanilla', 'bitter', 'caramel'}"
232,7478,4-Methoxybenzoic Acid,"{'sweet', 'putrid', 'cadaverous', 'faint'}"
233,7501,Styrene,"{'balsam', 'plastic', 'gasoline', 'sweet', 'floral', 'balsamic'}"
234,7507,Cyclohexylmethanol,{''}
235,7509,Benzyl Mercaptan,"{'sharp', 'horseradish', 'alliaceous', 'onion', 'coffee', 'garlic', 'mint', 'sulfurous'}"
236,7519,Anisole,"{'alcohol', 'gasoline', 'cheese', 'butter', 'ethereal', 'phenolic', 'anise'}"
237,7520,Thioanisole,"{'spicy', 'woody', 'solvent', 'toluene'}"
238,7523,2-Ethylpyridine,"{'grass', 'grassy', 'green'}"
239,7531,2-Methyl-1-phenyl-2-propanol,"{'oily', 'floral', 'rose', 'green', 'bitter', 'cortex', 'clean', 'rhubarb'}"
240,7559,Methyl Phenylacetate,"{'sweet', 'almond', 'floral', 'waxy', 'honey', 'spice'}"
241,7583,Diphenyl oxide,"{'leaf', 'geranium', 'phenolic', 'green'}"
242,7590,Ethyl Phenylacetate,"{'fruit', 'balsam', 'cocoa', 'sweet', 'floral', 'rose', 'grapefruit', 'melon', 'honey', 'bitter', 'chocolate', 'anise', 'raspberry'}"
243,7600,102-19-2,"{'castoreum', 'jasmine', 'balsam', 'cocoa', 'sweet', 'mango', 'honey', 'animal', 'chocolate'}"
244,7601,Phenethyl phenylacetate,"{'balsam', 'sweet', 'floral', 'rose', 'hyacinth', 'honey'}"
245,7643,Methyl 3-phenylpropionate,"{'balsam', 'fruity', 'floral', 'honey', 'wine'}"
246,7646,Benzyl isobutyrate,"{'oily', 'jasmine', 'fruity', 'jasmin', 'sweet', 'rose', 'tropical'}"
247,7650,Benzyl butyrate,"{'berry', 'logenberry', 'jasmine', 'fruity', 'jasmin', 'apricot', 'cheese', 'fresh', 'butter', 'plum', 'peach', 'pear'}"
248,7651,Benzyl isovalerate,"{'fruity', 'sweet', 'pineapple', 'apple', 'herbal'}"
249,7654,Phenethyl acetate,"{'fruity', 'tobacco', 'sweet', 'floral', 'rose', 'honey', 'tropical'}"
250,7655,Phenethyl isobutyrate,"{'fruity', 'pastry', 'floral', 'rose', 'bitter', 'peach', 'tea'}"
251,7657,Benzyl ether,"{'fruity', 'plastic', 'sweet', 'almond', 'rose', 'mushroom', 'chocolate', 'cherry', 'earthy'}"
252,7658,Phenethyl butyrate,"{'yeast', 'strawberry', 'sweet', 'floral', 'musty'}"
253,7664,103-61-7,{''}
254,7695,4-Methoxybenzyl acetate,"{'cherry', 'balsam', 'fruity', 'creamy', 'sweet', 'almond', 'plum', 'powdery', 'coumarin', 'vanilla', 'tonka'}"
255,7702,4-Propylanisole,"{'sassafrass', 'licorice', 'fennel', 'sweet', 'anise'}"
256,7704,104-50-7,"{'fatty', 'creamy', 'sweet', 'dairy', 'coconut', 'waxy', 'tonka'}"
257,7707,3-Phenylpropanal,"{'leaf', 'strawberry', 'balsam', 'cinnamon', 'storax', 'fresh', 'hyacinth', 'foliage', 'green', 'cortex', 'chocolate', 'honey', 'clove'}"
258,7708,Benzyl formate,"{'fruity', 'spicy', 'apricot', 'almond', 'floral', 'black tea', 'pineapple', 'cranberry'}"
259,7710,gamma-Nonanolactone,"{'oily', 'creamy', 'sweet', 'coconut', 'waxy', 'peach', 'buttery'}"
260,7711,2-Phenylethyl formate,"{'watercress', 'hyacinth', 'rose', 'green', 'bitter', 'herbal'}"
261,7714,Gamma-undecalactone,"{'fatty', 'fruity', 'creamy', 'ketonic', 'apricot', 'coconut', 'lactonic', 'peach'}"
262,7720,2-Ethylhexan-1-ol,"{'oily', 'sweet', 'floral', 'rose', 'fresh', 'green', 'citrus'}"
263,7725,p-Tolualdehyde,"{'fruity', 'phenolic', 'cherry', 'deep'}"
264,7728,5-Ethyl-2-methylpyridine,"{'strong', 'raw', 'nutty', 'potato', 'roasted', 'earthy'}"
265,7731,4-Methylanisole,"{'naphthyl', 'nutty', 'cedar', 'powdery', 'ylang', 'camphoraceous', 'cresol'}"
266,7738,4-Methoxybenzyl Alcohol,"{'sweet', 'flower', 'hawthorn', 'floral', 'hyacinth', 'rose', 'powdery', 'lilac', 'vanilla', 'honey', 'caramel', 'chocolate'}"
267,7742,gamma-Heptalactone,"{'fruit', 'nut', 'nutty', 'hay', 'sweet', 'coconut', 'fat', 'caramel', 'tonka'}"
268,7749,Ethyl Propionate,"{'fruit', 'rum', 'grape', 'fruity', 'sweet', 'pineapple', 'juicy'}"
269,7755,3-Methylvaleric acid,"{'sharp', 'fruity', 'cheesy', 'acidic', 'green', 'animal', 'sweaty'}"
270,7761,Diethyl Malonate,"{'apple', 'sweet', 'fruity', 'green'}"
271,7762,Ethyl Butyrate,"{'fruit', 'banana', 'fruity', 'cognac', 'pineapple', 'juicy', 'apple'}"
272,7765,Acetal,"{'fruit', 'nut', 'earthy', 'tart', 'vegetable', 'sweet', 'cream', 'green', 'honey', 'ether'}"
273,7768,azepan-2-one,"{'spicy', 'amine', 'bitter'}"
274,7770,Propyl butyrate,"{'rancid', 'fruity', 'apricot', 'sweet', 'pineapple', 'solvent', 'sweaty'}"
275,7772,Isoamyl propionate,"{'fruit', 'banana', 'fruity', 'tomato', 'sweet', 'pineapple', 'bitter', 'ripe', 'tropical'}"
276,7775,Isobutyl hexanoate,"{'fruity', 'sweet', 'pineapple', 'green', 'tropical', 'peach'}"
277,7778,Citronellyl formate,"{'apricot', 'rose', 'cucumber', 'plum', 'bergamot', 'honey', 'peach'}"
278,7792,"3,7-Dimethyl-1-octanol","{'bitter', 'leathery', 'soapy', 'waxy', 'aldehydic', 'musty', 'green', 'citrus'}"
279,7794,Citronellal,"{'cherry', 'sweet', 'floral', 'rose', 'waxy', 'lemon', 'aldehydic', 'citrus', 'fat', 'dry', 'herbal'}"
280,7795,Isoamyl butyrate,"{'banana', 'fruity', 'whiskey', 'apricot', 'hop_oil', 'green', 'melon', 'papaya', 'tropica', 'pear'}"
281,7797,Ethyl Heptanoate,"{'fruit', 'rum', 'fruity', 'cognac', 'plum', 'pineapple', 'melon', 'wine'}"
282,7799,Ethyl Octanoate,"{'fruit', 'banana', 'fruity', 'brandy', 'apricot', 'sweet', 'waxy', 'wine', 'fat', 'pear'}"
283,7800,Ethyl dodecanoate,"{'leaf', 'sweet', 'floral', 'soapy', 'waxy', 'clean'}"
284,7802,3-Heptanone,"{'fatty', 'powerful', 'fruity', 'green'}"
